actor_id,actor_name,category,title_id,title,year,release_date,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt0109969,Hail Caesar,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0108122,Short Cuts,1993,1993-10,movie,NA,NA,6110979,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0107091,Heart and Souls,1993,1993-08-13,movie,25000000,USD,16589540,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0103939,Chaplin,1992,1993-01-08,movie,31000000,USD,9493259,NA,NA,USD,0,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993
nm0000375,Robert Downey Jr.,actor,tt0102951,Soapdish,1991,1991-05-31,movie,25000000,USD,36489888,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0103100,Too Much Sun,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0099005,Air America,1990,1990-08-10,movie,35000000,USD,33461269,2407668,31053601,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0097044,Chances Are,1989,1989-03-10,movie,16000000,USD,16278590,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0098524,True Believer,1989,1989-02-17,movie,NA,NA,8742750,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0098464,That's Adequate,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0094594,1969,1988,1988-11-18,movie,7000000,USD,5979011,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0095409,Johnny Be Good,1988,1988-03-25,movie,22000000,USD,17550399,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0093407,Less Than Zero,1987,1987-11-06,movie,NA,NA,12396383,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0095978,Rented Lips,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0093737,The Pick-up Artist,1987,1987-09-18,movie,15000000,USD,13290368,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090629,America,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090685,Back to School,1986,1986-06-13,movie,11000000,USD,91258000,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0072562,Saturday Night Live,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090305,Weird Science,1985,1985-08-02,movie,7500000,USD,38934048,15100000,23834048,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0089208,Girls Just Want to Have Fun,1985,1985-04-12,movie,NA,NA,6326051,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090213,Tuff Turf,1985,1985-01-11,movie,NA,NA,9369329,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0087263,Firstborn,1984,1984-10-26,movie,8000000,USD,6250994,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0085208,Baby It's You,1983,1983-03-04,movie,3000000,USD,1867792,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0081695,Up the Academy,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
