title_id,title,release_date
tt3513498,The Lego Movie 2: The Second Part,2019-02-08
tt4881806,Jurassic World: Fallen Kingdom,2018-06-22
tt3896198,Guardians of the Galaxy Vol. 2,2017-05-05
tt1355644,Passengers,2016-12-21
tt2404435,The Magnificent Seven,2016-09-23
tt3614530,Jem and the Holograms,2015-10-23
tt0369610,Jurassic World,2015-06-12
tt2015381,Guardians of the Galaxy,2014-08-01
tt1490017,The Lego Movie,2014-02-07
tt2387559,Delivery Man,2013-11-22
tt1798709,Her,2014-01-10
tt1333125,Movie 43,2013-01-25
tt1790885,Zero Dark Thirty,2013-01-11
tt1195478,The Five-Year Engagement,2012-04-27
tt1715873,10 Years,2012-10-05
tt1210166,Moneyball,2011-09-23
tt0810922,Take Me Home Tonight,2011-03-04
tt1131734,Jennifer's Body,2009-09-18
tt0901476,Bride Wars,2009-01-09
tt0493464,Wanted,2008-06-27
tt0369994,Strangers with Candy,2006-07-21
tt4575576,Christopher Robin,2018-08-03
tt4513678,Ghostbusters: Afterlife,2021-11-19
tt5095030,Ant-Man and the Wasp,2018-07-06
tt5460880,Ideal Home,2018-06-07
tt4602066,The Catcher Was a Spy,2018-06-22
tt5829040,Fun Mom Dinner,2017-08-04
tt1754656,The Little Prince,2016-08-05
tt1229340,Anchorman 2: The Legend Continues,2013-12-18
tt1245492,This Is the End,2013-06-12
tt1462901,All Is Bright,2013-09-10
tt1814621,Admission,2013-03-22
tt2195548,Prince Avalanche,2013-01-20
tt1758830,This Is 40,2012-12-21
tt1659337,The Perks of Being a Wallflower,2012-10-12
tt1655460,Wanderlust,2012-02-24
tt1637706,Our Idiot Brother,2011-08-26
tt1341188,How Do You Know,2010-12-17
tt0427152,Dinner for Schmucks,2010-07-30
tt1045778,Year One,2009-06-19
tt1155056,"I Love You, Man",2009-03-20
tt0892782,Monsters vs. Aliens,2009-03-27
tt0430922,Role Models,2008-11-07
tt0800039,Forgetting Sarah Marshall,2008-04-18
tt0785007,Over Her Dead Body,2008-02-01
tt0841046,Walk Hard: The Dewey Cox Story,2007-12-21
tt0466839,I Could Never Be Your Woman,2007-06-15
tt0478311,Knocked Up,2007-06-01
tt0499554,Reno 911! Miami,2007-02-23
tt0811106,The Ten,2007-01-19
tt0477347,Night at the Museum,2006-12-22
tt0458364,The Ex,2007-05-11
tt0469897,Diggers,2007-03-30
tt0422861,The Oh in Ohio,2006-03
tt0405422,The 40-Year-Old Virgin,2005-08-19
tt0401244,The Baxter,2005-04-24
tt0380609,P.S.,2004-09-03
tt0357413,Anchorman: The Legend of Ron Burgundy,2004-07-09
tt0108778,Friends,1994-09-22
tt0308878,The Shape of Things,2003-05-16
tt0283288,The Château,2001-01-27
tt0243655,Wet Hot American Summer,2001-01-23
tt0124315,The Cider House Rules,2000-01-07
tt0137338,200 Cigarettes,1999-02-26
tt0120772,The Object of My Affection,1998-04-17
tt0119557,The Locusts,1997-10-03
tt0117509,Romeo + Juliet,1996-11-01
tt0113253,Halloween: The Curse of Michael Myers,1995-09-29
tt0112697,Clueless,1995-07-19
tt10872600,Spider-Man: No Way Home,2021-12-17
tt10687506,The Electrical Life of Louis Wain,2021-11-05
tt10293406,The Power of the Dog,2021-12-01
tt4761112,The Mauritanian,2021-03-02
tt8368512,The Courier,2021-03-19
tt8579674,1917,2020-01-10
tt2709692,The Grinch,2018-11-09
tt2140507,The Current War: Director's Cut,2019-10-25
tt1608290,Zoolander 2,2016-02-12
tt4476736,Hamlet,2015-10-15
tt1355683,Black Mass,2015-09-18
tt2310332,The Hobbit: The Battle of the Five Armies,2014-12-17
tt1911658,Penguins of Madagascar,2014-11-26
tt2084970,The Imitation Game,2014-12-25
tt1170358,The Hobbit: The Desolation of Smaug,2013-12-13
tt1322269,August: Osage County,2014-01-10
tt1837703,The Fifth Estate,2013-10-18
tt2024544,12 Years a Slave,2013-11-08
tt1408101,Star Trek Into Darkness,2013-05-16
tt0903624,The Hobbit: An Unexpected Journey,2012-12-14
tt1650028,Wreckers,2011-12-16
tt1568911,War Horse,2011-12-25
tt1340800,Tinker Tailor Soldier Spy,2012-01-06
tt1795369,Frankenstein,2011-03-17
tt0896872,The Whistleblower,2011-01-08
tt1510906,Third Star,2011-06-25
tt1341167,Four Lions,2010-01-23
tt0974014,Creation,2010-01-22
tt0467200,The Other Boleyn Girl,2008-02-29
tt0783233,Atonement,2008-01-11
tt0454776,Amazing Grace,2007-02-23
tt0477095,Starter for 10,2007-03-09
tt0302436,To Kill a King,2003
tt1464335,Uncharted,2022-02-18
tt7097896,Venom: Let There Be Carnage,2021-10-01
tt2076822,Chaos Walking,2021-03-05
tt5814534,Spies in Disguise,2019-12-25
tt6320628,Spider-Man: Far from Home,2019-07-02
tt3531202,Pilgrimage,2017-08-11
tt1212428,The Lost City of Z,2017-04-21
tt4085696,Billy Elliot,2014-11-12
tt1894476,How I Live Now,2013-10-15
tt2692904,Locke,2014-01-17
tt1649419,The Impossible,2013-01-04
tt1568921,The Secret World of Arrietty,2012-02-17
tt8688634,21 Bridges,2019-11-22
tt1825683,Black Panther,2018-02-16
tt5301662,Marshall,2017-10-13
tt1712192,Message from the King,2017-08-04
tt2404233,Gods of Egypt,2016-02-26
tt2473602,Get on Up,2014-08-01
tt2223990,Draft Day,2014-04-11
tt0453562,42,2013-04-12
tt0469903,The Express,2008-10-10
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021-09-03
tt4916630,Just Mercy,2020-01-10
tt1131728,Basmati Blues,2018-02-09
tt2378507,The Glass Castle,2017-08-11
tt3731562,Kong: Skull Island,2017-03-10
tt4158096,Free Fire,2017-04-21
tt3170832,Room,2016-01-22
