area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XNDOM,International,tt0371746,Iron Man,2008,140000000,USD,266762121,USD
XR2,Russia and Commonwealth of Independent States,tt0371746,Iron Man,2008,140000000,USD,9490254,USD
XCN,Central America+,tt0371746,Iron Man,2008,140000000,USD,2187416,USD
XA3,South Africa and Nigeria,tt0371746,Iron Man,2008,140000000,USD,1488822,USD
XC3,Czech Republic and Slovakia,tt0371746,Iron Man,2008,140000000,USD,467215,USD
XKN,East Africa,tt0371746,Iron Man,2008,140000000,USD,93840,USD
XWW,World-wide,tt0423977,Charlie Bartlett,2007,12000000,USD,5254986,USD
XNDOM,International,tt0423977,Charlie Bartlett,2007,12000000,USD,1303287,USD
XR2,Russia and Commonwealth of Independent States,tt0423977,Charlie Bartlett,2007,12000000,USD,249856,USD
XWW,World-wide,tt0338216,Lucky You,2007,55000000,USD,8461686,USD
XNDOM,International,tt0338216,Lucky You,2007,55000000,USD,2702736,USD
XKN,East Africa,tt0338216,Lucky You,2007,55000000,USD,5229,USD
XWW,World-wide,tt0443706,Zodiac,2007,65000000,USD,84785914,USD
XNDOM,International,tt0443706,Zodiac,2007,65000000,USD,51705830,USD
XR2,Russia and Commonwealth of Independent States,tt0443706,Zodiac,2007,65000000,USD,789797,USD
XC4,Central America,tt0443706,Zodiac,2007,65000000,USD,12705,USD
XKN,East Africa,tt0443706,Zodiac,2007,65000000,USD,7184,USD
XWW,World-wide,tt0422295,Fur: An Imaginary Portrait of Diane Arbus,2006,16800000,USD,2312717,USD
XNDOM,International,tt0422295,Fur: An Imaginary Portrait of Diane Arbus,2006,16800000,USD,2089515,USD
XWW,World-wide,tt0405296,A Scanner Darkly,2006,8700000,USD,7659918,USD
XNDOM,International,tt0405296,A Scanner Darkly,2006,8700000,USD,2158302,USD
XWW,World-wide,tt0393735,The Shaggy Dog,2006,50000000,USD,87134280,USD
XNDOM,International,tt0393735,The Shaggy Dog,2006,50000000,USD,26010711,USD
XWW,World-wide,tt0473488,A Guide to Recognizing Your Saints,2006,0,NULL,2035468,USD
XNDOM,International,tt0473488,A Guide to Recognizing Your Saints,2006,0,NULL,1517659,USD
XWW,World-wide,tt0433383,"Good Night, and Good Luck.",2005,7000000,USD,54641191,USD
XNDOM,International,tt0433383,"Good Night, and Good Luck.",2005,7000000,USD,23083188,USD
XR2,Russia and Commonwealth of Independent States,tt0433383,"Good Night, and Good Luck.",2005,7000000,USD,55064,USD
XC3,Czech Republic and Slovakia,tt0433383,"Good Night, and Good Luck.",2005,7000000,USD,11216,USD
XWW,World-wide,tt0373469,Kiss Kiss Bang Bang,2005,15000000,USD,15785148,USD
XNDOM,International,tt0373469,Kiss Kiss Bang Bang,2005,15000000,USD,11541392,USD
XR2,Russia and Commonwealth of Independent States,tt0373469,Kiss Kiss Bang Bang,2005,15000000,USD,523175,USD
XWW,World-wide,tt0425055,Game 6,2005,1000000,USD,129664,USD
XWW,World-wide,tt0343663,Eros,2004,0,NULL,1553020,USD
XNDOM,International,tt0343663,Eros,2004,0,NULL,1364628,USD
XWW,World-wide,tt0348836,Gothika,2003,40000000,USD,141591324,USD
XNDOM,International,tt0348836,Gothika,2003,40000000,USD,81896744,USD
XR2,Russia and Commonwealth of Independent States,tt0348836,Gothika,2003,40000000,USD,1049629,USD
XWW,World-wide,tt0314676,The Singing Detective,2003,8000000,USD,435625,USD
XNDOM,International,tt0314676,The Singing Detective,2003,8000000,USD,98451,USD
XWW,World-wide,tt0185014,Wonder Boys,2000,55000000,USD,33426588,USD
XNDOM,International,tt0185014,Wonder Boys,2000,55000000,USD,14033031,USD
XWW,World-wide,tt0165643,Black & White,1999,12000000,USD,5541431,USD
XNDOM,International,tt0165643,Black & White,1999,12000000,USD,264132,USD
XWW,World-wide,tt0131325,Bowfinger,1999,55000000,USD,98625775,USD
XNDOM,International,tt0131325,Bowfinger,1999,55000000,USD,32241000,USD
XWW,World-wide,tt0143261,Friends & Lovers,1999,0,NULL,33543,USD
XWW,World-wide,tt0120710,In Dreams,1999,30000000,USD,12017369,USD
XWW,World-wide,tt0120873,U.S. Marshals,1998,60000000,USD,102367405,USD
XNDOM,International,tt0120873,U.S. Marshals,1998,60000000,USD,45200000,USD
XWW,World-wide,tt0119196,The Gingerbread Man,1998,25000000,USD,1677131,USD
XWW,World-wide,tt0119327,Hugo Pool,1997,0,NULL,13330,USD
XWW,World-wide,tt0124179,Two Girls and a Guy,1997,1000000,USD,2057193,USD
XWW,World-wide,tt0119832,One Night Stand,1997,24000000,USD,2642983,USD
NA,NA,tt0116016,Danger Zone,1996,8500000,USD,NA,NA
XWW,World-wide,tt0114272,Restoration,1995,19000000,USD,4005941,USD
