actor_name,category,title,year,release_date,type,MCU,budget_USD,budget_scaled,World_Wide,International,Domestic,award_mcu,award_name,award_category,event_name,winner,color_id
Robert Downey Jr.,actor,Bowfinger,1999,1999-08-13,Movie,Non-MCU,55000000,3.772255772626578,98625775,32241000,66384775,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Friends & Lovers,1999,1999-04-16,Movie,Non-MCU,NA,3,33543,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,In Dreams,1999,1999-01-15,Movie,Non-MCU,30000000,3.4211142255025395,12017369,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,U.S. Marshals,1998,1998-03-06,Movie,Non-MCU,60000000,3.842484082051386,102367405,45200000,57167405,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,The Gingerbread Man,1998,1998-01-23,Movie,Non-MCU,25000000,3.3508859160777322,1677131,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Hugo Pool,1997,1997-12-12,Movie,Non-MCU,NA,3,13330,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,One Night Stand,1997,1997-11-14,Movie,Non-MCU,24000000,3.3368402541927704,2642983,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Danger Zone,1996,1996-08-02,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Restoration,1996,1996-02-02,Movie,Non-MCU,19000000,3.2666119447679627,4005941,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Home for the Holidays,1995,1995-11-03,Movie,Non-MCU,20000000,3.2806576066529245,17519169,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Richard III,1995,1995-12-29,Movie,Non-MCU,7800000,3.1093005316563938,2748518,63614,2684904,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Only You,1994,1994-10-07,Movie,Non-MCU,NA,3,20059210,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Natural Born Killers,1994,1994-08-26,Movie,Non-MCU,34000000,3.477296873042386,50283563,797,50282766,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Hail Caesar,1994,1994-05-11,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Heart and Souls,1993,1993-08-13,Movie,Non-MCU,25000000,3.3508859160777322,16589540,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Chaplin,1993,1993-01-08,Movie,Non-MCU,31000000,3.4351598873875013,9493259,NA,NA,Academy Award Nominee,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,#f1c2ae
Robert Downey Jr.,actor,Soapdish,1991,1991-05-31,Movie,Non-MCU,25000000,3.3508859160777322,36489888,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Too Much Sun,1991,1991-01-25,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Air America,1990,1990-08-10,Movie,Non-MCU,35000000,3.4913425349273473,33461269,2407668,31053601,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Extraction,2020,2020-04-24,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Jay and Silent Bob Reboot,2019,2019-10-15,Movie,Non-MCU,10000000,3.140200987803309,4691248,101758,4589490,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Men in Black: International,2019,2019-06-14,Movie,Non-MCU,110000000,4.544767176299462,253890701,173888894,80001807,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Avengers: Endgame,2019,2019-04-26,Movie,MCU,356000000,8,2797501328,1939128328,858373000,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Bad Times at the El Royale,2018,2018-10-12,Movie,Non-MCU,32000000,3.4492055492724627,31882724,14043609,17839115,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Avengers: Infinity War,2018,2018-04-27,Movie,MCU,321000000,7.508401834026347,2048359754,1369544272,678815482,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,12 Strong,2018,2018-01-19,Movie,Non-MCU,35000000,3.4913425349273473,67450815,21631102,45819713,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Thor: Ragnarok,2017,2017-11-03,Movie,MCU,180000000,5.52796350824677,853983911,538925622,315058289,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Doctor Strange,2016,2016-11-04,Movie,MCU,165000000,5.317278579972347,677796076,445154156,232641920,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Ghostbusters,2016,2016-07-15,Movie,Non-MCU,144000000,5.022319680388154,229147509,100796935,128350574,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,The Huntsman: Winter's War,2016,2016-04-22,Movie,Non-MCU,115000000,4.61499548572427,164989338,116599148,48390190,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,In the Heart of the Sea,2015,2015-12-11,Movie,Non-MCU,100000000,4.404310557449847,93920758,68900000,25020758,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Vacation,2015,2015-07-29,Movie,Non-MCU,31000000,3.4351598873875013,107228221,48344033,58884188,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Avengers: Age of Ultron,2015,2015-05-01,Movie,MCU,250000000,6.511159840194077,1402809540,943803672,459005868,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Blackhat,2015,2015-01-16,Movie,Non-MCU,70000000,3.982940700901001,19652057,11646077,8005980,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Thor: The Dark World,2013,2013-11-08,Movie,MCU,170000000,5.387506889397155,644783140,438421000,206362140,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Rush,2013,2013-09-27,Movie,Non-MCU,38000000,3.5334795205822322,96983009,70035385,26947624,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Red Dawn,2012,2012-11-21,Movie,Non-MCU,65000000,3.9127123914761937,50950296,6143513,44806783,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Snow White and the Huntsman,2012,2012-06-01,Movie,Non-MCU,170000000,5.387506889397155,396592829,241260448,155332381,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,The Avengers,2012,2012-05-04,Movie,MCU,220000000,6.089789983645232,1518815515,895457605,623357910,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,The Cabin in the Woods,2012,2012-04-13,Movie,Non-MCU,30000000,3.4211142255025395,70055998,27982721,42073277,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Thor,2011,2011-05-06,Movie,MCU,150000000,5.106593651697924,449326618,268295994,181030624,MCU,NA,NA,NA,NA,#233f92
Chris Hemsworth,actor,Ca$h,2010,2010-03-26,Movie,Non-MCU,7000000,3.0980640021484245,46488,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,A Perfect Getaway,2009,2009-08-07,Movie,Non-MCU,14000000,3.196383635343155,22955544,7440084,15515460,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Hemsworth,actor,Star Trek,2009,2009-05-08,Movie,Non-MCU,150000000,5.106593651697924,385680446,127950427,257730019,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Don't Look Up,2021,2021-12-24,Movie,Non-MCU,NA,3,791863,791863,0,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Free Guy,2021,2021-08-13,Movie,Non-MCU,120000000,4.685223795149078,331526598,209900000,121626598,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Knives Out,2019,2019-11-27,Movie,Non-MCU,40000000,3.561570844352155,311605581,146242347,165363234,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Red Sea Diving Resort,2019,2019-07-31,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Avengers: Endgame,2019,2019-04-26,Movie,MCU,356000000,8,2797501328,1939128328,858373000,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Captain Marvel,2019,2019-03-08,Movie,MCU,160000000,5.24705027054754,1128462972,701633133,426829839,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Avengers: Infinity War,2018,2018-04-27,Movie,MCU,321000000,7.508401834026347,2048359754,1369544272,678815482,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Spider-Man: Homecoming,2017,2017-07-07,Movie,MCU,175000000,5.457735198821963,880166924,545965784,334201140,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Gifted,2017,2017-04-12,Movie,Non-MCU,7000000,3.0980640021484245,43069254,18268042,24801212,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Captain America: Civil War,2016,2016-05-06,Movie,MCU,250000000,6.511159840194077,1153337496,745253147,408084349,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Ant-Man,2015,2015-07-17,Movie,MCU,130000000,4.825680413998693,519311965,339109802,180202163,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Avengers: Age of Ultron,2015,2015-05-01,Movie,MCU,250000000,6.511159840194077,1402809540,943803672,459005868,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Playing It Cool,2015,2015-05-08,Movie,Non-MCU,NA,3,1323415,1323415,0,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Before We Go,2015,2015-07-21,Movie,Non-MCU,NA,3,462875,425724,37151,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Captain America: The Winter Soldier,2014,2014-04-04,Movie,MCU,170000000,5.387506889397155,714421503,454654931,259766572,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Thor: The Dark World,2013,2013-11-08,Movie,MCU,170000000,5.387506889397155,644783140,438421000,206362140,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Snowpiercer,2014,2014-07-11,Movie,Non-MCU,39200000,3.5503343148441857,86758912,82195262,4563650,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Iceman,2012,2012-09-01,Movie,Non-MCU,10000000,3.140200987803309,4552970,2583777,1969193,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Avengers,2012,2012-05-04,Movie,MCU,220000000,6.089789983645232,1518815515,895457605,623357910,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,What's Your Number?,2011,2011-09-30,Movie,Non-MCU,20000000,3.2806576066529245,30426096,16415012,14011084,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Captain America: The First Avenger,2011,2011-07-22,Movie,MCU,140000000,4.966137032848309,370569774,193915269,176654505,MCU,NA,NA,NA,NA,#233f92
Chris Evans,actor,Puncture,2011,2011-04-21,Movie,Non-MCU,NA,3,123700,54755,68945,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Scott Pilgrim vs. the World,2010,2010-08-13,Movie,Non-MCU,60000000,3.842484082051386,49421974,16140284,33281690,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Losers,2010,2010-04-23,Movie,Non-MCU,25000000,3.3508859160777322,29397654,5806222,23591432,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Push,2009,2009-02-06,Movie,Non-MCU,38000000,3.5334795205822322,48858618,17047091,31811527,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Loss of a Teardrop Diamond,2009,2009-10-10,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Street Kings,2008,2008-04-11,Movie,Non-MCU,20000000,3.2806576066529245,66476363,40057696,26418667,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Battle for Terra,2009,2009-05-01,Movie,Non-MCU,NA,3,6195553,4548470,1647083,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Nanny Diaries,2007,2007-08-24,Movie,Non-MCU,20000000,3.2806576066529245,47817020,21886368,25930652,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Fantastic 4: Rise of the Silver Surfer,2007,2007-06-15,Movie,Non-MCU,130000000,4.825680413998693,301913131,169991393,131921738,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Sunshine,2007,2007-07-27,Movie,Non-MCU,33800000,3.474487740665394,34806812,31131059,3675753,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,TMNT,2007,2007-03-23,Movie,Non-MCU,34000000,3.477296873042386,95802916,41653818,54149098,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,London,2006,2006-02-10,Movie,Non-MCU,18200,3,20361,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Fantastic Four,2005,2005-07-08,Movie,Non-MCU,100000000,4.404310557449847,333535934,178839854,154696080,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Fierce People,2007,2007-11-30,Movie,Non-MCU,NA,3,269755,184345,85410,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Cellular,2004,2004-09-10,Movie,Non-MCU,25000000,3.3508859160777322,57678321,25674701,32003620,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Perfect Score,2004,2004-01-30,Movie,Non-MCU,40000000,3.561570844352155,10898337,507334,10391003,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,Not Another Teen Movie,2001,2001-12-14,Movie,Non-MCU,15000000,3.2104292972281168,66468985,28216701,38252284,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Evans,actor,The Newcomers,2000,2000-10-01,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,The Tomorrow War,2021,2021-07-02,Movie,Non-MCU,200000000,5.808876745946001,14400000,14400000,0,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Onward,2020,2020-03-06,Movie,Non-MCU,175000000,5.457735198821963,141940042,80384897,61555145,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Avengers: Endgame,2019,2019-04-26,Movie,MCU,356000000,8,2797501328,1939128328,858373000,MCU,NA,NA,NA,NA,#233f92
Chris Pratt,actor,The Kid,2019,2019-03-08,Movie,Non-MCU,8000000,3.112109664033386,1561698,53105,1508593,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,The Lego Movie 2: The Second Part,2019,2019-02-08,Movie,Non-MCU,99000000,4.3902648955648855,192456290,86500000,105956290,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Jurassic World: Fallen Kingdom,2018,2018-06-22,Movie,Non-MCU,170000000,5.387506889397155,1310466296,892746536,417719760,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Avengers: Infinity War,2018,2018-04-27,Movie,MCU,321000000,7.508401834026347,2048359754,1369544272,678815482,MCU,NA,NA,NA,NA,#233f92
Chris Pratt,actor,Guardians of the Galaxy Vol. 2,2017,2017-05-05,Movie,MCU,200000000,5.808876745946001,863756051,473942950,389813101,MCU,NA,NA,NA,NA,#233f92
Chris Pratt,actor,Passengers,2016,2016-12-21,Movie,Non-MCU,110000000,4.544767176299462,303144152,203129453,100014699,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,The Magnificent Seven,2016,2016-09-23,Movie,Non-MCU,90000000,4.263853938600231,162360636,68927981,93432655,Non-MCU,NA,NA,NA,NA,#C4D6FA
