title_id,title,release_date
tt0337563,13 Going on 30,2004-04-23
tt0338013,Eternal Sunshine of the Spotless Mind,2004-03-19
tt0361309,We Don't Live Here Anymore,2004-09-03
tt0199626,In the Cut,2003-10-31
tt0264150,View from the Top,2003-03-21
tt0314412,My Life Without Me,2003-08-30
tt0245562,Windtalkers,2002-06-14
tt0245573,XX/XY,2002-01-11
tt0272020,The Last Castle,2001-10-19
tt0156741,Apartment 12,2005
tt0231013,The Beat,2000-03-21
tt0203230,You Can Count on Me,2000-12-22
tt0144142,Committed,2000-01-21
tt0134154,Ride with the Devil,1999-11-24
tt0120577,54,1998-08-28
tt0120813,Safe Men,1998-08-07
tt0126908,A Fish in the Bathtub,1999-03
tt0161743,The Last Big Thing,1998-09-23
tt0115709,Blood Money,1400-01-01
tt0116075,The Dentist,1996-10-18
tt0116088,The Destiny of Marty Fine,1996-01
tt0199772,Mirror Mirror 3: The Voyeur,1996-10-01
tt0108756,Due South,1994-04-23
tt0108320,There Goes My Baby,1994-09-02
tt0109897,A Gift from Heaven,1995-12-20
tt0110530,Mirror Mirror 2: Raven Dance,1994-05-25
tt0346222,CBS Summer Playhouse,1987-06-12
tt14220870,A Very British Scandal,2022-04-22
tt11327514,Uncle Frank,2020-11-25
tt3778644,Solo: A Star Wars Story,2018-05-25
tt5618256,Manhunt,2017-08-01
tt3780500,Journey's End,2018-02-22
tt3569230,Legend,2015-11-20
tt3045616,Mortdecai,2015-01-23
tt2209764,Transcendence,2014-04-18
tt2078552,Blood,2013-08-09
tt0822847,Priest,2011-05-13
tt1615147,Margin Call,2011-01-25
tt1243957,The Tourist,2010-12-10
tt1228705,Iron Man 2,2010-05-07
tt1038686,Legion,2010-01-22
tt0974014,Creation,2010-01-22
tt0962736,The Young Victoria,2010-01-08
tt0494238,Inkheart,2009-01-23
tt0416212,The Secret Life of Bees,2008-10-17
tt0787519,Broken Lines,2011-09-30
tt0371746,Iron Man,2008-05-02
tt0382625,The Da Vinci Code,2006-05-19
tt0408345,Firewall,2006-02-10
tt0360201,Wimbledon,2004-09-17
tt0311113,Master and Commander: The Far Side of the World,2003-11-14
tt0276919,Dogville,2004-04-23
tt0258816,The Reckoning,2004-02-08
tt0301390,The Heart of Me,2003-01-18
tt0268978,A Beautiful Mind,2002-01-04
tt0228488,Kiss Kiss Bang Bang,2001-11-07
tt0183790,A Knight's Tale,2001-05-11
tt0218138,Dead Babies,1400-01-01
tt0210065,Gangster No. 1,2000-10-21
tt0249172,The Suicide Club,2000-01
tt0202782,After the Rain,1999-06-05
tt0198111,Every Woman Knows a Secret,1999-03-18
tt0127383,Killer Net,1998-05-05
tt0158653,Coming Home,1998-04-12
tt0119494,The Land Girls,1998-06-12
tt0118698,Bent,1997-11-26
tt12749392,Sharpe,1993-11-14
tt0084987,The Bill,1983-08-16
tt0108992,Wycliffe,1994-07-24
tt12682076,The Wonder Years,2021-09-22
tt16350094,The Boys Presents: Diabolical,2022-03-04
tt7406334,Black Monday,2019-01-20
tt3554046,Space Jam: A New Legacy,2021-07-15
tt11525644,No Sudden Move,2021-07-01
tt12802708,With/in: Volume 1,2021-06-13
tt10488234,Don't Look Deeper,2020-07-27
tt5531466,DuckTales,2017-08-12
tt4669186,Kevin Hart: What Now?,2016-10-14
tt1797404,House of Lies,2012-01-08
tt0790770,Miles Ahead,2016-04-22
tt0496424,30 Rock,2006-10-11
tt1907668,Flight,2012-11-02
tt1540133,The Guard,2011-01-20
tt1503278,Drunk History,2007-12-23
tt1210042,Brooklyn's Finest,2010-03-05
tt0785006,Hotel for Dogs,2009-01-16
tt0988047,Traitor,2008-08-27
tt0496806,Ocean's Thirteen,2007-06-08
tt0490204,Reign Over Me,2007-03-23
tt0796368,Talk to Me,2007-08-03
tt0486572,The Dog Problem,2007-08-07
tt0349903,Ocean's Twelve,2004-12-10
tt0367479,After the Sunset,2004-11-12
tt0395169,Hotel Rwanda,2005-02-04
tt0375679,Crash,2005-05-06
tt0364961,The Assassination of Richard Nixon,2004-12-29
