actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm2432160,NA,Powrót do tamtych dni,actor,tt5934552,2021,movie,0,NULL,150375,150375,0,USD
nm2432160,NA,Operation Hyacinth,actor,tt14315584,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,We'll Be Fine,actor,tt12894926,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Sexify,actor,tt14315542,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Squared Love,actor,tt13846542,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,25 lat niewinnosci. Sprawa Tomka Komendy,actor,tt14039300,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,The Elements of Sasza - Fire,actor,tt12939956,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Erotica 2022,actor,tt10399674,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Królestwo kobiet,actor,tt12862902,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Ludzie i bogowie,actor,tt10138386,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,25 Years of Innocence,actor,tt11368998,2020,movie,0,NULL,4027477,4027477,0,USD
nm2432160,NA,Nobody Sleeps in the Woods Tonight,actor,tt11240506,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Jak poslubic milionera,actor,tt10800286,2019,movie,0,NULL,5121361,5121361,0,USD
nm2432160,NA,Mister T.,actor,tt9856606,2019,movie,0,NULL,202432,202432,0,USD
nm2432160,NA,Icarus. The Legend of Mietek Kosz,actor,tt9121954,2019,movie,0,NULL,3042,3042,0,USD
nm2432160,NA,Na dobre i na zle,actor,tt0262975,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,The Plagues of Breslau,actor,tt8618118,2018,movie,0,NULL,132114,132114,0,USD
nm2432160,NA,Drunk History: Pol litra historii,actor,tt7917588,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,O mnie sie nie martw,actor,tt4194194,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,"Okna, okna",actor,tt8745006,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,SNL Polska,actor,tt8144912,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Za marzenia,actor,tt8045332,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Gotowi na wszystko. Exterminator,actor,tt6947528,2018,movie,0,NULL,1970978,1970978,0,USD
nm2432160,NA,The Chairman's Ear,actor,tt8866654,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Diagnoza,actor,tt7401482,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,The Man with the Magic Box,actor,tt5782146,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Ojciec Mateusz,actor,tt1271995,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Druga szansa,actor,tt5527070,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Amok,actor,tt6666648,2017,movie,0,NULL,652713,652713,0,USD
nm2432160,NA,Singielka,actor,tt6833416,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Szkola uwodzenia Czeslawa M.,actor,tt5927954,2016,movie,0,NULL,948,948,0,USD
nm2432160,NA,Bodo,actor,tt5527242,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,"7 rzeczy, których nie wiecie o facetach",actor,tt5312370,2016,movie,0,NULL,5267920,5267920,0,USD
nm2432160,NA,Slaba plec?,actor,tt5318042,2015,movie,0,NULL,2644199,2644199,0,USD
nm2432160,NA,Na sygnale,actor,tt6425794,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Adventurers' Club,actor,tt4375114,2015,movie,1000000,USD,202045,202045,0,USD
nm2432160,NA,True Law,actor,tt2245989,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Disco Polo,actor,tt2973854,2015,movie,2000000,USD,4301648,4301648,0,USD
nm2432160,NA,Wkreceni 2,actor,tt4332728,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Bobry,actor,tt4067006,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Referee of Attention,actor,tt4332558,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Dzej Dzej,actor,tt3139754,2014,movie,0,NULL,50325,50325,0,USD
nm2432160,NA,Baron24,actor,tt4088396,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Heavy Mental,actor,tt2455436,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Rodzinka.pl,actor,tt1973695,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Ranczo,actor,tt0831833,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Komisarz Alex,actor,tt2264054,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,The Girl from the Wardrobe,actor,tt2403880,2012,movie,0,NULL,431220,431220,0,USD
nm2432160,NA,Galeria,actor,tt2403177,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Shameless,actor,tt1927068,2012,movie,0,NULL,200004,200004,0,USD
nm2432160,NA,Reguly gry,actor,tt2255201,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Letters to Santa,actor,tt1927077,2011,movie,0,NULL,26923513,26923513,0,USD
nm2432160,NA,Daleko od noszy. Szpital futpolowy,actor,tt9095310,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Off the Stretcher,actor,tt0472212,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Teraz i zawsze,actor,tt1346316,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Pierwsza milosc,actor,tt0439389,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Dom nad rozlewiskiem,actor,tt1671069,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Contact High,actor,tt0780002,2009,movie,0,NULL,382027,382027,0,USD
nm2432160,NA,Zamiana,actor,tt1320401,2009,movie,0,NULL,224180,224180,0,USD
nm2432160,NA,Czarny,actor,tt1343311,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Nie panikuj,actor,tt13034170,NA,movie,NA,NA,NA,NA,NA,NA
nm2432160,NA,Niania,actor,tt0482076,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Odwróceni,actor,tt0998810,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Królowie sródmiescia,actor,tt1236383,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Hela w opalach,actor,tt0847653,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2432160,NA,Fala zbrodni,actor,tt0434680,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm3775203,NA,Before Twilight,actor,tt1210349,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Growing Rich,actor,tt0203256,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Chimera,actor,tt0101577,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Chelworth,actor,tt0396975,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Casualty,actor,tt0096555,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Theatre Night,actor,tt0820333,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Scene,actor,tt1049302,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,High Season,actor,tt0095303,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Drummonds,actor,tt0215407,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Crown Court,actor,tt0140733,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Reith,actor,tt15007462,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Nation's Health,actor,tt1127764,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Reilly: Ace of Spies,actor,tt0085077,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Star Wars: Episode VI - Return of the Jedi,actor,tt0086190,1983,movie,32500000,USD,475106177,122009457,353096720,USD
nm0789970,NA,All for Love,actor,tt1380834,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Nanny,actor,tt0159191,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,BBC2 Playhouse,actor,tt0762803,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Jackanory Playhouse,actor,tt1687457,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Old Curiosity Shop,actor,tt0227938,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Rumpole of the Bailey,actor,tt0078680,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,BBC2 Play of the Week,actor,tt0958967,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Kilvert's Diary,actor,tt0208624,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Play for Today,actor,tt0165592,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Murder,actor,tt1597642,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Second City Firsts,actor,tt0259806,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Village Hall,actor,tt0181264,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Dead of Night,actor,tt0222545,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Thirty-Minute Theatre,actor,tt0212699,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,A Midsummer Night's Dream,actor,tt0063297,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Out of the Unknown,actor,tt0058836,NA,tvSeries,NA,NA,NA,NA,NA,NA
