actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0000375,Robert Downey Jr.,actor,tt0108122,Short Cuts,1993,movie,0,NULL,6110979,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0107091,Heart and Souls,1993,movie,25000000,USD,16589540,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0103939,Chaplin,1992,movie,31000000,USD,9493259,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0102951,Soapdish,1991,movie,25000000,USD,36489888,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0103100,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0099005,Air America,1990,movie,35000000,USD,33461269,2407668,31053601,USD
nm0000375,Robert Downey Jr.,actor,tt0097044,Chances Are,1989,movie,16000000,USD,16278590,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0098524,True Believer,1989,movie,0,NULL,8742750,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0098464,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0094594,1969,1988,movie,7000000,USD,5979011,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0095409,Johnny Be Good,1988,movie,22000000,USD,17550399,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0093407,Less Than Zero,1987,movie,0,NULL,12396383,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0095978,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0093737,The Pick-up Artist,1987,movie,15000000,USD,13290368,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0090629,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090685,Back to School,1986,movie,11000000,USD,91258000,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0072562,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090305,Weird Science,1985,movie,7500000,USD,38934048,15100000,23834048,USD
nm0000375,Robert Downey Jr.,actor,tt0089208,Girls Just Want to Have Fun,1985,movie,0,NULL,6326051,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0090213,Tuff Turf,1985,movie,0,NULL,9369329,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0087263,Firstborn,1984,movie,8000000,USD,6250994,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0085208,Baby It's You,1983,movie,3000000,USD,1867792,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0081695,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0068659,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0066234,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0072562,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0471042,Tower Heist,2011,movie,75000000,USD,152930623,74884053,78046570,USD
nm0002049,NA,actor,tt0363623,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0218967,The Family Man,2000,movie,60000000,USD,124745083,48951778,75793305,USD
nm0002049,NA,actor,tt0175880,Magnolia,1999,movie,37000000,USD,48451803,25995827,22455976,USD
nm0002049,NA,actor,tt0118749,Boogie Nights,1997,movie,15000000,USD,43117303,16700954,26416349,USD
nm0002049,NA,actor,tt0117781,The Sunchaser,1996,movie,0,NULL,21508,NA,NA,USD
nm0002049,NA,actor,tt0109969,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0086660,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0095409,Johnny Be Good,1988,movie,22000000,USD,17550399,NA,NA,USD
nm0002049,NA,actor,tt0090481,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0090180,To Live and Die in L.A.,1985,movie,8000000,USD,17307019,NA,NA,USD
nm0002049,NA,actor,tt0088634,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0068006,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0064855,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,actor,tt0251300,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm2949192,NA,actor,tt0092355,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2949192,NA,actor,tt0290962,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt8847712,The French Dispatch,2021,movie,25000000,USD,46333545,30209170,16124375,USD
nm0001570,Edward Norton,actor,tt0385887,Motherless Brooklyn,2019,movie,26000000,USD,18477736,9200000,9277736,USD
nm0001570,Edward Norton,actor,tt0437086,Alita: Battle Angel,2019,movie,170000000,USD,404980543,319142333,85838210,USD
nm0001570,Edward Norton,actor,tt5846856,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5104604,Isle of Dogs,2018,movie,0,NULL,64337744,32322513,32015231,USD
nm0001570,Edward Norton,actor,tt4682786,Collateral Beauty,2016,movie,36000000,USD,88528280,57512259,31016021,USD
nm0001570,Edward Norton,actor,tt1700841,Sausage Party,2016,movie,19000000,USD,140705322,43019636,97685686,USD
nm0001570,Edward Norton,actor,tt4788934,The Guardian Brothers,2015,movie,0,NULL,11902156,11902156,0,USD
nm0001570,Edward Norton,actor,tt3530232,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5786876,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,movie,18000000,USD,103215094,60874496,42340598,USD
nm0001570,Edward Norton,actor,tt2278388,The Grand Budapest Hotel,2014,movie,25000000,USD,173082189,113780865,59301324,USD
nm0001570,Edward Norton,actor,tt0072562,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0096697,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1194173,The Bourne Legacy,2012,movie,125000000,USD,276144750,162940880,113203870,USD
nm0001570,Edward Norton,actor,tt1748122,Moonrise Kingdom,2012,movie,16000000,USD,68264022,22751556,45512466,USD
nm0001570,Edward Norton,actor,tt1645170,The Dictator,2012,movie,65000000,USD,179379533,119729311,59650222,USD
nm0001570,Edward Norton,actor,tt1423995,Stone,2010,movie,22000000,USD,10300416,8490338,1810078,USD
nm0001570,Edward Norton,actor,tt1442437,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1151359,Leaves of Grass,2009,movie,9000000,USD,1034214,964148,70066,USD
nm0001570,Edward Norton,actor,tt1058017,The Invention of Lying,2009,movie,18500000,USD,32406507,13955256,18451251,USD
nm0001570,Edward Norton,actor,tt0482572,Pride and Glory,2008,movie,30000000,USD,31200557,15459836,15740721,USD
nm0001570,Edward Norton,actor,tt0800080,The Incredible Hulk,2008,movie,150000000,USD,264770996,129964083,134806913,USD
nm0001570,Edward Norton,actor,tt0446755,The Painted Veil,2006,movie,19400000,USD,26910847,18850360,8060487,USD
nm0001570,Edward Norton,actor,tt0443543,The Illusionist,2006,movie,16500000,USD,87892388,48023746,39868642,USD
