actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0000375,Robert Downey Jr.,Hail Caesar,actor,tt0109969,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Short Cuts,actor,tt0108122,1993,movie,0,NULL,6110979,NA,NA,USD
nm0000375,Robert Downey Jr.,Heart and Souls,actor,tt0107091,1993,movie,25000000,USD,16589540,NA,NA,USD
nm0000375,Robert Downey Jr.,Chaplin,actor,tt0103939,1992,movie,31000000,USD,9493259,NA,NA,USD
nm0000375,Robert Downey Jr.,Soapdish,actor,tt0102951,1991,movie,25000000,USD,36489888,NA,NA,USD
nm0000375,Robert Downey Jr.,Too Much Sun,actor,tt0103100,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Air America,actor,tt0099005,1990,movie,35000000,USD,33461269,2407668,31053601,USD
nm0000375,Robert Downey Jr.,Chances Are,actor,tt0097044,1989,movie,16000000,USD,16278590,NA,NA,USD
nm0000375,Robert Downey Jr.,True Believer,actor,tt0098524,1989,movie,0,NULL,8742750,NA,NA,USD
nm0000375,Robert Downey Jr.,That's Adequate,actor,tt0098464,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,1969,actor,tt0094594,1988,movie,7000000,USD,5979011,NA,NA,USD
nm0000375,Robert Downey Jr.,Johnny Be Good,actor,tt0095409,1988,movie,22000000,USD,17550399,NA,NA,USD
nm0000375,Robert Downey Jr.,Less Than Zero,actor,tt0093407,1987,movie,0,NULL,12396383,NA,NA,USD
nm0000375,Robert Downey Jr.,Rented Lips,actor,tt0095978,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,The Pick-up Artist,actor,tt0093737,1987,movie,15000000,USD,13290368,NA,NA,USD
nm0000375,Robert Downey Jr.,America,actor,tt0090629,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Back to School,actor,tt0090685,1986,movie,11000000,USD,91258000,NA,NA,USD
nm0000375,Robert Downey Jr.,Saturday Night Live,actor,tt0072562,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Weird Science,actor,tt0090305,1985,movie,7500000,USD,38934048,15100000,23834048,USD
nm0000375,Robert Downey Jr.,Girls Just Want to Have Fun,actor,tt0089208,1985,movie,0,NULL,6326051,NA,NA,USD
nm0000375,Robert Downey Jr.,Tuff Turf,actor,tt0090213,1985,movie,0,NULL,9369329,NA,NA,USD
nm0000375,Robert Downey Jr.,Firstborn,actor,tt0087263,1984,movie,8000000,USD,6250994,NA,NA,USD
