actor_id,actor_name,award_name,award_category,event_name,winner,year,titles
nm0000204,Natalie Portman,Oscar,Best Performance by an Actress in a Leading Role,"Academy Awards, USA",Nominated,2017,Jackie
nm0000375,Robert Downey Jr.,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2009,Tropic Thunder
nm0000375,Robert Downey Jr.,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2009,Tropic Thunder
nm0000375,Robert Downey Jr.,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993,Chaplin
nm0000375,Robert Downey Jr.,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993,Chaplin
nm0000375,Robert Downey Jr.,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2001,Ally McBeal
nm0000375,Robert Downey Jr.,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2001,Ally McBeal
nm0000168,Samuel L. Jackson,Oscar,Best Actor in a Supporting Role,"Academy Awards, USA",Nominated,1995,Pulp Fiction
nm0000168,Samuel L. Jackson,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or More),Primetime Emmy Awards,Nominated,2009,Afro Samurai: Resurrection
nm0000140,Michael Douglas,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Winner,1988,Wall Street
nm0000140,Michael Douglas,Oscar,Best Picture,"Academy Awards, USA",Winner,1976,One Flew Over the Cuckoo's Nest
nm0000140,Michael Douglas,Primetime Emmy,Best Supporting Actor in Drama,Primetime Emmy Awards,Nominated,1974,The Streets of San Francisco
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Continuing Performance by a Supporting Actor in a Drama Series,Primetime Emmy Awards,Nominated,1975,The Streets of San Francisco
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Guest Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2002,Will & Grace
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Continuing Performance by a Supporting Actor in a Drama Series,Primetime Emmy Awards,Nominated,1976,The Streets of San Francisco
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Awards,Winner,2013,Behind The Candelabra
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Lead Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2019,The Kominsky Method
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Comedy Series,Primetime Emmy Awards,Nominated,2020,The Kominsky Method
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Lead Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2020,The Kominsky Method
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Comedy Series,Primetime Emmy Awards,Nominated,2021,The Kominsky Method
nm0000140,Michael Douglas,Primetime Emmy,Outstanding Lead Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2021,The Kominsky Method
nm0000474,Michael Keaton,Primetime Emmy,Outstanding Nonfiction Special,Primetime Emmy Awards,Nominated,2004,Fred Rogers: America's Favorite Neighbor
nm0000474,Michael Keaton,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2015,Birdman or (The Unexpected Virtue of Ignorance)
nm0235185,NA,Daytime Emmy,"Best Host or Hostess in a Talk, Service, or Variety Series",Daytime Emmy Awards,Nominated,1974,The Mike Douglas Show
nm0235185,NA,Daytime Emmy,"Outstanding Host or Hostess in a Talk, Service or Variety Series",Daytime Emmy Awards,Nominated,1975,The Mike Douglas Show
nm0235185,NA,Daytime Emmy,"Outstanding Host or Hostess in a Talk, Service or Variety Series",Daytime Emmy Awards,Nominated,1976,The Mike Douglas Show
nm0235185,NA,Daytime Emmy,"Outstanding Host or Hostess in a Talk, Service or Variety Series",Daytime Emmy Awards,Nominated,1977,The Mike Douglas Show
nm0235185,NA,Daytime Emmy,Outstanding Host or Hostess in a Variety Series,Daytime Emmy Awards,Nominated,1982,The Mike Douglas Show
nm0235185,NA,Primetime Emmy,Program and Individual Achievements in Daytime Programming - Individuals,Primetime Emmy Awards,Winner,1967,The Mike Douglas Show
nm0235185,NA,Primetime Emmy,Outstanding Program Achievement in Daytime,Primetime Emmy Awards,Nominated,1973,The Mike Douglas Show
nm0252230,Chiwetel Ejiofor,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2014,12 Years a Slave
nm0252230,Chiwetel Ejiofor,Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Awards,Nominated,2014,Dancing on the Edge
nm0252230,Chiwetel Ejiofor,Primetime Emmy,Outstanding Narrator,Primetime Emmy Awards,Nominated,2020,The Elephant Queen
nm0000474,Michael Keaton,Primetime Emmy,Outstanding Nonfiction Special,Primetime Emmy Awards,Nominated,2004,Fred Rogers: America's Favorite Neighbor
nm0000474,Michael Keaton,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2015,Birdman or (The Unexpected Virtue of Ignorance)
nm0430107,Michael B. Jordan,Primetime Emmy,Outstanding Television Movie,Primetime Emmy Awards,Nominated,2018,Fahrenheit 451
nm6073955,Florence Pugh,Oscar,Best Performance by an Actress in a Supporting Role,"Academy Awards, USA",Nominated,2020,Little Women
nm3918035,Zendaya,Primetime Emmy,Outstanding Lead Actress in a Drama Series,Primetime Emmy Awards,Winner,2020,Euphoria
