actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt2883512,Chef,2014,2014-05-30,movie,USD,11000000,11000000,USD,48428048,17004045,31424003,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1300854,Iron Man 3,2013,2013-05-03,movie,USD,200000000,200000000,USD,1214811252,805797258,409013994,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1300854,Iron Man 3,2013,2013-05-03,movie,USD,200000000,200000000,USD,1214811252,805797258,409013994,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0848228,The Avengers,2012,2012-05-04,movie,USD,220000000,220000000,USD,1518815515,895457605,623357910,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0848228,The Avengers,2012,2012-05-04,movie,USD,220000000,220000000,USD,1518815515,895457605,623357910,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1515091,Sherlock Holmes: A Game of Shadows,2011,2011-12-16,movie,USD,125000000,125000000,USD,543848418,357000000,186848418,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1231583,Due Date,2010,2010-11-05,movie,USD,65000000,65000000,USD,211780824,111241781,100539043,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1228705,Iron Man 2,2010,2010-05-07,movie,USD,200000000,200000000,USD,623933331,311500000,312433331,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt1228705,Iron Man 2,2010,2010-05-07,movie,USD,200000000,200000000,USD,623933331,311500000,312433331,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0988045,Sherlock Holmes,2009,2009-12-25,movie,USD,90000000,90000000,USD,524028679,315000000,209028679,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0821642,The Soloist,2009,2009-04-24,movie,USD,60000000,60000000,USD,38332994,6612836,31720158,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0942385,Tropic Thunder,2008,2008-08-13,movie,USD,92000000,92000000,USD,195702963,85187650,110515313,0,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2009
nm0000375,Robert Downey Jr.,actor,tt0800080,The Incredible Hulk,2008,2008-06-13,movie,USD,150000000,150000000,USD,264770996,129964083,134806913,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0371746,Iron Man,2008,2008-05-02,movie,USD,140000000,140000000,USD,585796247,266762121,319034126,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0371746,Iron Man,2008,2008-05-02,movie,USD,140000000,140000000,USD,585796247,266762121,319034126,1,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0423977,Charlie Bartlett,2007,2008-02-22,movie,USD,12000000,12000000,USD,5254986,1303287,3951699,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0338216,Lucky You,2007,2007-05-04,movie,USD,55000000,55000000,USD,8461686,2702736,5758950,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0443706,Zodiac,2007,2007-03-02,movie,USD,65000000,65000000,USD,84785914,51705830,33080084,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0443706,Zodiac,2007,2007-03-02,movie,USD,65000000,65000000,USD,84785914,51705830,33080084,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0422295,Fur: An Imaginary Portrait of Diane Arbus,2006,2006-09-01,movie,USD,16800000,16800000,USD,2312717,2089515,223202,0,NA,NA,NA,NA,NA
