actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World_Wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year,MCU_tv,MCU,budget_scaled,decade,award_mcu
nm0000375,Robert Downey Jr.,actor,tt0120710,In Dreams,1999,1999-01-15,Movie,USD,30000000,30000000,USD,12017369,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.3368913804020317,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0120873,U.S. Marshals,1998,1998-03-06,Movie,USD,60000000,60000000,USD,102367405,45200000,57167405,0,NA,NA,NA,NA,NA,0,Non-MCU,3.6739872656411086,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0119196,The Gingerbread Man,1998,1998-01-23,Movie,USD,25000000,25000000,USD,1677131,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.280708732862186,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0119327,Hugo Pool,1997,1997-12-12,Movie,NA,NA,NA,USD,13330,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0119832,One Night Stand,1997,1997-11-14,Movie,USD,24000000,24000000,USD,2642983,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.2694722033542165,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0116016,Danger Zone,1996,1996-08-02,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0114272,Restoration,1996,1996-02-02,Movie,USD,19000000,19000000,USD,4005941,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.21328955581437,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0113321,Home for the Holidays,1995,1995-11-03,Movie,USD,20000000,20000000,USD,17519169,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.2245260853223394,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0114279,Richard III,1995,1995-12-29,Movie,GBP,6000000,7800000,USD,2748518,63614,2684904,0,NA,NA,NA,NA,NA,0,Non-MCU,3.087440425325115,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0110737,Only You,1994,1994-10-07,Movie,NA,NA,NA,USD,20059210,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0110632,Natural Born Killers,1994,1994-08-26,Movie,USD,34000000,34000000,USD,50283563,797,50282766,0,NA,NA,NA,NA,NA,0,Non-MCU,3.381837498433909,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0109969,Hail Caesar,1994,1994-05-11,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0107091,Heart and Souls,1993,1993-08-13,Movie,USD,25000000,25000000,USD,16589540,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.280708732862186,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0103939,Chaplin,1993,1993-01-08,Movie,USD,31000000,31000000,USD,9493259,NA,NA,0,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993,0,Non-MCU,3.348127909910001,90's,Academy Award Nominee
nm0000375,Robert Downey Jr.,actor,tt0102951,Soapdish,1991,1991-05-31,Movie,USD,25000000,25000000,USD,36489888,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.280708732862186,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0103100,Too Much Sun,1991,1991-01-25,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0099005,Air America,1990,1990-08-10,Movie,USD,35000000,35000000,USD,33461269,2407668,31053601,0,NA,NA,NA,NA,NA,0,Non-MCU,3.393074027941878,90's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0097044,Chances Are,1989,1989-03-10,Movie,USD,16000000,16000000,USD,16278590,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.1795799672904628,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0098524,True Believer,1989,1989-02-17,Movie,NA,NA,NA,USD,8742750,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0094594,1969,1988,1988-11-18,Movie,USD,7000000,7000000,USD,5979011,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.0784512017187398,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0095409,Johnny Be Good,1988,1988-03-25,Movie,USD,22000000,22000000,USD,17550399,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.246999144338278,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0093407,Less Than Zero,1987,1987-11-06,Movie,NA,NA,NA,USD,12396383,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0095978,Rented Lips,1988,1988-07-01,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0093737,The Pick-up Artist,1987,1987-09-18,Movie,USD,15000000,15000000,USD,13290368,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.1683434377824935,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0090685,Back to School,1986,1986-06-13,Movie,USD,11000000,11000000,USD,91258000,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.1233973197506164,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0090305,Weird Science,1985,1985-08-02,Movie,USD,7500000,7500000,USD,38934048,15100000,23834048,0,NA,NA,NA,NA,NA,0,Non-MCU,3.084069466472724,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0089208,Girls Just Want to Have Fun,1985,1985-04-12,Movie,NA,NA,NA,USD,6326051,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0090213,Tuff Turf,1985,1985-01-11,Movie,NA,NA,NA,USD,9369329,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0087263,Firstborn,1984,1984-10-26,Movie,USD,8000000,8000000,USD,6250994,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.0896877312267086,80's,Non-MCU
